Procreation Month,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR
Birth Month,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2006,NA,-20.79%,9.34%,3.97%,8.98%,-5.05%,1.47%,2.31%,11.41%,1.56%,-6.63%,-1.74%
2007,2.15%,-14.71%,6.23%,0.30%,8.33%,-6.44%,5.65%,1.05%,9.46%,3.54%,-2.62%,-0.89%
2008,0.17%,-16.19%,3.37%,0.22%,7.08%,-6.11%,7.76%,2.36%,9.91%,-3.70%,-7.00%,-0.86%
2009,2.75%,-13.10%,9.85%,-3.19%,3.44%,-6.50%,0.14%,2.54%,15.08%,0.60%,-11.16%,-2.54%
2010,7.21%,-11.64%,7.54%,-3.92%,1.98%,-4.72%,10.36%,3.08%,13.50%,-4.20%,-7.56%,-2.40%
2011,2.04%,-20.94%,4.29%,3.83%,9.16%,-2.77%,4.29%,3.74%,10.79%,-0.38%,-6.23%,-1.07%
2012,10.14%,-19.64%,3.12%,1.15%,4.50%,-5.29%,2.41%,-0.24%,12.57%,0.61%,-6.19%,-0.93%
2013,4.14%,-17.18%,9.96%,-1.11%,4.58%,-6.09%,3.47%,1.83%,9.25%,-1.08%,-5.79%,-3.15%
2014,-1.82%,-15.27%,11.63%,3.55%,5.85%,-7.29%,7.34%,1.40%,7.40%,3.07%,-2.88%,-4.24%
2015,-1.80%,-23.35%,8.97%,6.36%,7.81%,-2.09%,3.72%,0.72%,11.62%,2.11%,-6.22%,-0.88%
2016,-2.74%,-18.51%,4.22%,5.17%,4.60%,-4.45%,4.69%,4.49%,10.95%,-1.50%,-4.99%,-3.85%
2017,-5.34%,-18.77%,10.99%,3.64%,4.44%,-3.90%,7.60%,5.11%,9.71%,-0.89%,-1.99%,-3.49%
2018,-5.42%,-20.99%,7.78%,6.86%,3.68%,-4.42%,7.68%,2.10%,9.71%,-0.71%,-4.72%,-1.49%
2019,0.46%,-20.33%,10.37%,3.29%,5.34%,-5.00%,2.87%,2.83%,8.88%,-0.74%,-3.67%,-3.41%
2020,-1.93%,-19.87%,-2.85%,5.40%,13.47%,-4.24%,1.20%,2.20%,14.10%,-0.72%,-4.07%,-16.86%
2021,-11.62%,-16.89%,16.46%,3.99%,10.07%,-4.43%,7.21%,6.79%,7.34%,-0.49%,-5.07%,-5.10%
2022,2.61%,-17.75%,8.10%,-3.12%,3.62%,3.22%,7.59%,4.21%,12.98%,-3.81%,-1.89%,-4.03%
2023,1.96%,-16.86%,7.27%,-6.79%,3.97%,-4.51%,3.21%,1.96%,8.07%,-13.87%,-18.67%,-17.84%
Q1,-2.13%,-20.33%,4.29%,0.22%,4.44%,-6.09%,2.87%,1.83%,9.46%,-1.08%,-6.23%,-3.85%
Q3,2.65%,-16.19%,9.96%,3.99%,8.33%,-4.24%,7.59%,3.74%,12.57%,0.61%,-3.67%,-1.07%
IQR,4.78%,4.14%,5.67%,3.77%,3.88%,1.85%,4.72%,1.91%,3.11%,1.69%,2.56%,2.78%
LF,-9.30%,-26.55%,-4.21%,-5.44%,-1.38%,-8.87%,-4.22%,-1.04%,4.79%,-3.62%,-10.08%,-8.03%
UF,9.82%,-9.98%,18.46%,9.65%,14.15%,-1.46%,14.68%,6.61%,17.24%,3.15%,0.18%,3.10%
